-23,-1009
53,-23,-1013
53,-21,-1010
53,-20,-1010
51,-21,-1011
53,-20,-1007
52,-22,-1012
53,-21,-1010
53,-22,-1011
55,-22,-1008
55,-22,-1010
54,-20,-1005
53,-20,-1010
54,-22,-1007
52,-20,-1013
51,-20,-1009
54,-20,-1010
55,-20,-1009
53,-21,-1010
55,-23,-1011
54,-21,-1011
53,-23,-1011
54,-20,-1011
53,-21,-1012
53,-20,-1008
53,-22,-1010
54,-22,-1008
54,-21,-1010
52,-24,-1011
54,-21,-1012
51,-20,-1010
52,-23,-1009
53,-23,-1010
56,-22,-1010
51,-21,-1011
52,-22,-1010
52,-21,-1008
52,-20,-1014
54,-22,-1011
52,-24,-1006
54,-23,-1010
53,-21,-1010
53,-20,-1010
53,-21,-1012
53,-21,-1012
54,-19,-1011
53,-21,-1008
54,-22,-1013
53,-21,-1012
54,-21,-1011
51,-23,-1011
55,-20,-1012
53,-20,-1006
52,-22,-1010
51,-19,-1009
51,-21,-1012
52,-23,-1009
55,-21,-1013
55,-20,-1011
55,-22,-1010
52,-20,-1011
54,-24,-1011
55,-20,-1009
53,-22,-1011
53,-21,-1011
53,-21,-1006
54,-21,-1011
51,-21,-1006
55,-22,-1010
53,-21,-1006
55,-22,-1012
51,-21,-1005
54,-22,-1011
52,-20,-1008
55,-19,-1008
50,-20,-1007
53,-22,-1008
54,-24,-1005
54,-22,-1014
53,-21,-1011
54,-23,-1011
53,-22,-1014
54,-21,-1009
53,-21,-1013
53,-19,-1008
54,-19,-1013
52,-22,-1006
54,-21,-1015
56,-24,-1004
55,-21,-1013
52,-23,-1004
54,-20,-1016
53,-24,-1004
53,-21,-1012
51,-21,-1008
51,-22,-1012
54,-21,-1006
54,-22,-1015
53,-22,-1006
54,-20,-1014
52,-24,-1008
54,-22,-1012
51,-21,-1010
55,-19,-1011
53,-22,-1008
53,-22,-1011
54,-23,-1013
55,-23,-1009
56,-20,-1009
54,-22,-1008
54,-22,-1012
54,-20,-1005
56,-22,-1016
53,-20,-1007
55,-21,-1012
53,-23,-1008
53,-24,-1012
54,-22,-1007
54,-22,-1012
51,-21,-1007
54,-21,-1016
53,-22,-1007
53,-19,-1013
54,-23,-1006
54,-22,-1011
51,-22,-1009
53,-24,-1008
53,-22,-1009
54,-19,-1008
54,-21,-1011
53,-23,-1008
53,-19,-1010
54,-24,-1011
54,-22,-1009
52,-24,-1008
55,-19,-1015
54,-23,-1010
53,-19,-1011
53,-23,-1009
51,-23,-1013
55,-21,-1010
53,-21,-1013
55,-16,-1038
54,-13,-1042
48,-18,-1018
50,-18,-995
51,-19,-998
53,-22,-990
51,-20,-996
52,-18,-991
55,-17,-998
51,-16,-1004
47,-16,-1015
49,-17,-1017
48,-16,-1022
52,-17,-1015
59,-16,-1011
58,-19,-1010
55,-17,-1009
55,-18,-1014
47,-16,-1003
2,-15,-1004
58,-19,-1020
40,-18,-1018
108,-20,-1019
50,-18,-1017
72,-20,-1008
55,-17,-1018
18,-21,-989
19,-13,-1013
38,-16,-1007
70,-13,-1030
52,-15,-1005
73,-18,-1001
51,-20,-984
131,-1,-1019
119,100,-1016
90,56,-1014
103,24,-991
132,65,-990
159,92,-981
174,54,-1008
165,-1,-1024
171,9,-985
167,-3,-1008
176,62,-1040
176,38,-961
169,22,-1000
130,-2,-989
119,-33,-978
116,-19,-1001
145,35,-1010
190,21,-956
206,22,-1020
210,15,-995
193,-25,-984
204,9,-1062
138,17,-994
84,38,-1013
61,19,-1022
85,15,-1012
115,26,-965
132,53,-1021
129,23,-1048
139,60,-994
145,22,-1007
154,51,-971
185,25,-1055
120,3,-999
42,9,-1036
-25,4,-1037
-32,33,-1012
47,-15,-988
116,-22,-987
214,24,-1019
196,-26,-935
146,-11,-980
115,10,-1009
116,-22,-1022
125,-14,-995
107,-55,-989
127,-32,-1031
122,22,-1101
134,-40,-931
125,-21,-1012
91,-2,-1045
65,-32,-986
55,-31,-944
41,-8,-1029
18,-3,-1069
23,7,-1008
80,-7,-986
62,-8,-1021
-10,3,-1013
35,-28,-1014
35,-11,-1029
16,1,-953
14,-70,-985
11,23,-1012
7,-48,-1063
4,-15,-1043
-8,-35,-989
-2,-38,-958
1,-36,-1002
25,-29,-1058
43,2,-1049
44,-47,-984
38,-79,-960
37,-74,-962
64,-17,-1030
44,-57,-1093
67,-59,-1082
35,-77,-937
72,-11,-921
51,-119,-929
-49,-37,-977
-3,-48,-1076
27,-51,-1113
31,-129,-1051
19,48,-1021
48,-11,-1002
36,-75,-982
11,-34,-977
-1,-45,-987
5,33,-1001
-37,-20,-993
-24,-21,-986
-43,45,-995
-64,42,-976
-37,3,-982
-40,-13,-986
-51,17,-1030
-45,-7,-1143
-33,-129,-1143
10,-22,-1006
8,2,-902
16,10,-887
15,12,-915
12,9,-1020
-14,-8,-1085
-3,-50,-1122
21,-64,-1062
19,-41,-974
21,56,-905
5,-79,-942
46,-93,-983
78,34,-1053
27,-39,-1093
40,-27,-1089
61,-59,-1020
43,-72,-953
16,-10,-935
8,-26,-972
14,-28,-1015
27,-24,-1054
19,-49,-1067
33,-61,-1056
53,-74,-1018
24,-68,-965
29,-30,-961
22,-31,-960
43,-41,-979
35,-88,-1003
-3,-10,-1054
0,-70,-1069
11,-23,-1025
80,-16,-958
77,-18,-908
30,-20,-865
15,-30,-893
23,-27,-967
24,-23,-1003
85,-21,-1036
179,1,-1040
198,-20,-1004
145,-43,-972
117,-26,-1020
94,-26,-1069
142,-34,-1106
181,-41,-1123
142,-77,-1158
117,-87,-1159
113,-68,-1159
91,-30,-1148
110,-26,-1145
127,-20,-1163
107,-16,-1174
71,-10,-1184
24,-20,-1182
-40,-5,-1183
-5,-6,-1175
29,11,-1145
7,30,-1093
-10,37,-1064
10,52,-1021
61,42,-986
71,56,-958
82,54,-938
103,56,-899
118,53,-880
107,33,-870
91,31,-857
94,17,-842
100,12,-811
97,6,-785
69,0,-775
34,4,-774
29,-21,-778
38,-20,-783
8,-18,-795
-8,-25,-818
6,-31,-844
-2,-27,-872
-44,-19,-908
-87,-9,-945
-100,-10,-966
-70,-6,-1016
