,1019
45,-43,1026
46,-39,1024
42,-40,1019
43,-41,1020
43,-40,1021
41,-42,1019
44,-43,1023
43,-40,1020
40,-39,1021
42,-40,1023
42,-41,1020
41,-41,1024
43,-42,1023
45,-40,1029
45,-42,1025
45,-41,1024
42,-39,1020
45,-40,1016
45,-38,1016
45,-39,1011
45,-40,1019
44,-39,1014
42,-41,1017
38,-42,1021
44,-40,1024
42,-43,1028
40,-40,1027
43,-41,1026
40,-41,1024
44,-41,1024
42,-41,1025
44,-41,1024
46,-40,1022
38,-40,1022
33,-41,1022
35,-38,1016
28,-40,1018
34,-40,1017
32,-42,1021
33,-40,1027
38,-39,1024
34,-36,1025
38,-38,1026
42,-40,1021
40,-41,1023
47,-42,1028
56,-43,1027
50,-42,1035
58,-45,1046
58,-47,1054
50,-41,1057
55,-43,1041
58,-38,1023
62,-36,1007
76,-35,985
73,-38,972
76,-34,964
75,-36,964
68,-35,972
53,-38,989
47,-37,1003
38,-40,1025
25,-40,1050
26,-40,1069
27,-42,1075
28,-41,1075
45,-41,1068
53,-42,1048
60,-40,1032
75,-43,1013
77,-39,988
77,-41,978
73,-37,968
65,-38,972
52,-36,980
49,-37,991
34,-38,1013
27,-38,1035
29,-38,1049
26,-42,1060
34,-41,1070
40,-44,1067
49,-45,1063
63,-42,1049
67,-42,1027
79,-41,1007
77,-37,996
66,-36,984
61,-35,978
56,-34,976
42,-35,982
36,-38,991
32,-38,1013
27,-39,1026
32,-39,1038
30,-40,1043
32,-42,1045
56,-42,1040
48,-41,1034
60,-42,1034
61,-43,1038
39,-39,1032
36,-42,1021
45,-42,1012
51,-40,1001
46,-38,999
57,-38,998
54,-38,1000
46,-39,1010
59,-44,1019
59,-46,1016
35,-43,1019
42,-41,1008
33,-41,1008
34,-37,1006
30,-41,1006
27,-43,1010
28,-46,1022
39,-44,1033
40,-47,1047
31,-49,1056
44,-48,1050
38,-46,1050
45,-49,1048
40,-49,1052
38,-47,1048
37,-48,1040
30,-47,1034
40,-49,1021
35,-44,1010
21,-43,1005
38,-41,996
23,-39,994
23,-43,992
34,-45,991
27,-43,995
28,-49,1000
41,-48,994
25,-46,1013
37,-47,1022
44,-47,1022
35,-44,1029
50,-50,1027
44,-52,1040
49,-55,1043
60,-54,1021
52,-51,1011
59,-58,1033
54,-56,1054
36,-52,1093
25,-53,1117
0,-52,1139
3,-55,1156
10,-63,1199
22,-62,1192
12,-67,1187
39,-61,1154
110,-38,1016
45,-46,933
24,-43,843
106,-31,716
62,20,670
29,8,672
32,-21,717
83,-13,763
58,-32,898
21,-54,999
20,-53,1122
40,-54,1234
49,-64,1290
43,-66,1330
32,-60,1321
62,-58,1245
67,-49,1183
86,-51,1068
98,-46,938
101,-33,851
75,-21,748
34,-5,704
60,-11,700
67,-11,734
19,-16,831
30,-24,910
47,-37,1036
35,-49,1152
34,-56,1211
41,-66,1281
65,-70,1299
72,-67,1276
60,-59,1232
69,-52,1141
79,-38,1035
78,-33,926
79,-27,861
67,-18,774
42,-15,748
43,-13,747
49,-16,779
30,-21,871
37,-28,942
62,-37,1041
49,-49,1139
41,-51,1188
55,-61,1244
75,-64,1254
69,-64,1231
60,-57,1195
70,-49,1118
66,-37,1026
56,-31,945
51,-24,895
40,-19,836
40,-19,817
48,-22,809
47,-22,829
49,-29,881
44,-33,926
28,-36,1012
65,-54,1090
99,-28,1124
61,-39,1179
68,-56,1208
75,-63,1209
65,-55,1181
55,-40,1135
66,-40,1063
54,-47,1015
46,-34,941
42,-18,880
33,-22,857
36,-19,838
49,-15,843
51,-22,876
52,-33,914
58,-41,982
59,-42,1028
65,-50,1096
67,-52,1149
59,-55,1184
58,-53,1197
55,-52,1179
44,-47,1142
32,-42,1087
41,-37,1040
45,-33,970
45,-28,914
47,-29,887
48,-25,863
54,-24,862
64,-28,882
60,-29,913
63,-32,963
62,-37,1003
59,-43,1063
56,-47,1111
41,-47,1143
42,-48,1162
47,-52,1156
34,-49,1141
30,-49,1113
44,-42,1059
44,-36,999
45,-29,961
46,-27,919
52,-26,891
58,-24,883
58,-28,897
57,-31,916
57,-37,966
53,-40,1004
44,-43,1063
45,-47,1114
45,-51,1138
40,-51,1147
36,-48,1140
41,-47,1110
47,-42,1084
56,-40,1035
71,-38,979
64,-35,947
49,-33,914
39,-27,899
42,-27,900
46,-25,924
39,-28,953
39,-34,997
39,-40,1026
33,-44,1072
38,-48,1113
48,-49,1130
61,-52,1139
60,-51,1131
61,-48,1101
61,-43,1076
50,-37,1028
51,-34,978
44,-30,949
37,-30,922
39,-28,907
45,-31,904
43,-34,914
29,-30,950
25,-35,973
28,-36,1022
25,-38,1070
42,-43,1092
69,-47,1109
56,-50,1121
55,-52,1117
58,-47,1106
37,-45,1075
37,-41,1048
61,-40,1017
58,-36,989
37,-31,956
33,-27,940
37,-28,929
43,-31,932
39,-31,944
47,-35,971
53,-40,995
67,-45,1031
70,-43,1049
67,-46,1072
53,-45,1088
54,-45,1094
50,-44,1094
40,-43,1084
34,-42,1066
29,-39,1035
28,-40,1015
34,-40,985
36,-36,968
35,-34,961
34,-31,964
41,-32,962
37,-33,971
26,-31,979
21,-36,1001
28,-38,1014
18,-41,1042
21,-43,1064
37,-45,1081
35,-42,1088
51,-43,1077
57,-43,1069
48,-42,1047
45,-38,1033
47,-36,1005
48,-38,984
52,-39,971
47,-40,965
43,-39,958
38,-36,970
33,-36,992
30,-39,1005
28,-37,1031
30,-39,1054
35,-37,1065
35,-38,1068
36,-40,1064
38,-39,1055
36,-39,1045
37,-44,1035
36,-43,1031
38,-44,1036
49,-44,1025
43,-40,1008
48,-36,989
59,-33,986
51,-35,982
54,-34,986
64,-35,996
53,-38,1001
49,-42,1005
38,-41,1009
32,-40,1015
35,-43,1012
19,-42,1022
24,-40,1020
24,-39,1023
17,-41,1024
30,-38,1022
37,-40,1033
33,-42,1043
57,-46,1048
54,-47,1051
53,-47,1054
66,-51,1050
69,-48,1055
80,-51,1080
95,-51,1097
99,-52,1097
74,-47,1081
67,-45,1055
64,-44,1046
80,-33,1001
41,-38,954
22,-38,920
31,-27,899
37,-28,896
40,-26,898
31,-23,912
18,-24,938
36,-35,984
41,-40,1017
40,-51,1080
68,-52,1102
82,-52,1120
73,-54,1107
51,-49,1098
46,-46,1087
54,-47,1092
48,-44,1105
62,-51,1102
44,-43,1048
20,-32,1010
25,-38,960
15,-36,944
39,-24,925
22,-26,915
8,-26,916
26,-24,926
31,-30,950
18,-34,984
37,-34,1005
22,-38,1035
15,-45,1077
30,-49,1101
45,-49,1123
32,-46,1134
39,-46,1120
40,-49,1106
31,-43,1073
24,-34,1048
79,-31,998
37,-38,982
4,-36,940
12,-23,915
21,-24,904
11,-31,909
10,-29,932
26,-28,954
24,-34,1004
26,-36,1034
43,-39,1072
61,-44,1101
63,-48,1107
38,-47,1114
67,-48,1104
59,-44,1092
36,-40,1077
62,-44,1050
41,-37,1015
24,-32,977
35,-28,952
41,-29,931
34,-29,924
33,-28,934
43,-32,943
48,-36,975
45,-35,997
52,-40,1038
48,-42,1073
55,-45,1077
27,-41,1078
16,-42,1084
42,-45,1086
13,-43,1083
11,-43,1067
10,-39,1047
